nbRowsClearedScoreWeight,avgHeightScoreWeight,nbGapsScoreWeight,elevationChangeScoreWeight, nbMovesWeight,timeSurvived
0.11243004319640063,-0.24496304868194332,-0.15102883593397226,-0.3545798423892764,0.13699822979840748,68.5901471
-0.17092289758948623,0.06508042258002299,-0.3378533201684936,-0.1903195656857534,0.2358237939762438,67.8164517
-0.024572383518763632,-0.335006851578391,-0.16874156306220664,-0.16438276486421838,0.30729643697642034,53.0319543
0.20643770085216367,0.19886505142995556,-0.18561642348683788,0.11567846042651074,0.2934023638045321,52.3156384
-0.1202465387527441,-0.2527922159903497,-0.11986777557521094,-0.22403747185867318,0.28305599782302215,48.8745922
0.034356579201129354,-0.41394277504363575,0.31586379449103186,-0.1939905235548916,-0.04184632770931148,43.4537557
-0.07407234701865445,-0.17781717181032242,-0.22018250135740816,-0.0686882736642084,0.4592397061494065,39.4936914
-0.1720569258166322,-0.31491504328918507,0.05286182720069277,-0.299733420269581,-0.160432783423909,37.9885561
-0.081626975400576,-0.15194315121836552,0.38390307857122435,-0.0586004617805543,0.3239263330292798,30.2411699
-0.25956204107359787,-0.0006832931773057114,-0.32079916454733265,0.1573330303623373,0.2616224708394265,29.9984584
0.18790330938956382,0.2191619734936294,0.21006784321477173,-0.2962830902883066,0.08658378361372847,26.9760803
-0.0584736388134242,0.32824758402465776,0.045947971360204586,0.33129673965346396,0.23603406614824937,26.5770957
0.22875800049120704,-0.10787398793464668,-0.26504058297665767,-0.1366195796733639,-0.26170784892412485,25.1805468
0.039898710464256124,0.1911249592285493,-0.17978080382710318,-0.0857933931098445,0.503402133370247,23.6442668
-0.37762342203410754,0.13746200718606877,0.15181516709533996,-0.3330577382199997,-4.166546448412922E-05,19.471057
0.2947380488581069,-0.05044242774728633,-0.13983740085914875,0.20429431031453302,-0.310687812220925,18.2544257
0.1651876486076705,-0.0456842806515082,0.2925953214333136,0.3267468582892475,-0.16978589101826028,17.9504088
0.15060930943109493,0.28794768098812584,-0.14166553650164979,0.12259903004156829,-0.29717844303756114,15.9633738
0.0846471136323431,0.12234108009124826,-0.23564737874381994,0.34042079055229874,-0.2169436369802901,14.4513206
-0.2198495985109064,0.13654418831134146,0.26612326700715355,-0.2236089742891309,-0.15387397188146762,12.6901897
-0.009473323617058934,-0.2625815162467833,-0.20640315413015262,-0.24993306960365508,0.27160893640235,10.0533095
0.11170960714261911,-0.024063665590500966,-0.16849602816848436,-0.2757702475660162,0.4199604515323793,10.0079387
0.07359715747459016,-0.5658267738142952,0.024961478236547572,-0.2784540932057986,0.05716049726876841,10.0071393
